field_1,Date,Latitude,Longitude,DaysOld
0,20221012,61.68300436983061,30.9975044988697,3.0
187,20221012,59.68207383926219,28.31460030791616,3.0
188,20221012,59.71649202367233,28.01944276232985,3.0
189,20221012,59.7077289321366,28.01648199949072,3.0
190,20221012,59.69301911043258,27.996570589149663,3.0
191,20221012,59.69131975171791,27.997602814928705,3.0
192,20221012,59.46913549767125,28.003885602143047,3.0
193,20221012,59.425853126952006,27.739906723167746,3.0
194,20221012,59.41892848987085,27.72693570838789,3.0
195,20221012,59.41789987335842,27.72765858262933,3.0
186,20221012,59.6757943888618,28.381349469462712,3.0
197,20221012,59.407554593118256,27.75253629982208,3.0
1,20221012,57.37683019189266,8.167886240659133,3.0
2,20221012,57.54429115593367,8.1677193536713,3.0
3,20221012,57.62060904590052,7.891697657622734,3.0
4,20221012,57.688438440296,8.067297761758027,3.0
5,20221012,57.91632032791203,7.645747279045013,3.0
6,20221012,57.91974210909856,7.767135606171563,3.0
7,20221012,57.95995229902249,7.506622016571458,3.0
8,20221012,57.97574489062037,7.500794960634668,3.0
9,20221012,57.96539546424682,7.61208301748866,3.0
0,20221012,57.40763610124712,8.09500126561313,3.0
10,20221012,57.97997257694436,7.625626456927431,3.0
185,20221012,59.67639875937278,28.393082877056152,3.0
183,20221012,59.71658136594817,28.019473868034225,3.0
163,20221012,59.77163037437583,28.421374114467287,3.0
164,20221012,59.76694863205636,28.394448411646607,3.0
165,20221012,59.76128396943084,28.3605091432937,3.0
166,20221012,59.73989581210098,28.426727191020603,3.0
167,20221012,59.73824605859115,28.4373969021246,3.0
168,20221012,59.76128396943084,28.3605091432937,3.0
169,20221012,59.79246821121623,28.098788412333256,3.0
170,20221012,59.79172585025702,28.09780549687932,3.0
171,20221012,59.773504837608655,28.07986759509396,3.0
184,20221012,59.77777551298768,27.73005140613033,3.0
172,20221012,59.76357923257586,28.071793493788935,3.0
174,20221012,59.72839602996239,28.43466094044784,3.0
175,20221012,59.70097727368388,28.38427654878764,3.0
176,20221012,59.70022995577676,28.36438548281323,3.0
177,20221012,59.69707699820604,28.37279488225238,3.0
178,20221012,59.69598692546151,28.361333457655764,3.0
179,20221012,59.69564434161687,28.34771115536708,3.0
180,20221012,59.68776223245603,28.41948891048814,3.0
181,20221012,59.697885322012255,28.32124624852156,3.0
182,20221012,59.75649635969594,28.044845786737927,3.0
173,20221012,59.69323868067802,28.431902912085725,3.0
162,20221012,59.7708579460448,28.43254781493126,3.0
11,20221012,57.97497443124116,7.681709655076534,3.0
13,20221012,57.98394904656532,7.069439418241182,3.0
38,20221012,58.0033102471468,7.658820357228863,3.0
39,20221012,58.032563399816645,7.682668507416017,3.0
40,20221012,58.01974764300544,7.722889364971398,3.0
41,20221012,58.025035155015935,7.7386925948833,3.0
42,20221012,58.03529278301788,7.730859179358839,3.0
43,20221012,58.03970046898706,7.76549682933514,3.0
44,20221012,58.04230067773014,7.732538267780431,3.0
45,20221012,58.04153624411013,7.711559834879405,3.0
46,20221012,58.04086421112572,7.78687155180752,3.0
37,20221012,58.00321995046456,7.660471474855469,3.0
47,20221012,58.04737755144735,7.803140266345454,3.0
49,20221012,58.05069370477628,7.960763040671343,3.0
50,20221012,58.004804954983776,7.007154741000482,3.0
51,20221012,58.00515175081637,7.010061998115769,3.0
