field_1,Date,Latitude,Longitude,DaysOld
20,20221102,36.67720339281234,5.487348338949295,115.0
27,20221102,36.75061865606716,5.101283086307085,115.0
26,20221102,36.755658274644375,5.100679780657202,115.0
25,20221102,36.72517042364038,5.160197244226781,115.0
24,20221102,36.73098790828422,5.189630686832596,115.0
23,20221102,36.667541320864125,5.464302014158859,115.0
22,20221102,36.67239306509044,5.474490540110795,115.0
21,20221102,36.67896088440752,5.473423178793958,115.0
1,20221102,38.71373294322739,16.09809829951569,115.0
19,20221102,36.6783289241975,5.48854579711422,115.0
18,20221102,36.67867849252799,5.488705837651036,115.0
17,20221102,37.02666292011561,3.63129160917836,115.0
16,20221102,36.900920605781984,4.23285932927271,115.0
28,20221102,36.74484859160289,5.085567036235044,115.0
15,20221102,36.90165685390531,4.233900314541138,115.0
13,20221102,36.88530545457,4.599863609357201,115.0
12,20221102,36.88488075903377,4.632426298097478,115.0
11,20221102,36.70632317863496,5.537079491347653,115.0
10,20221102,37.13849824785328,2.912093808509713,115.0
9,20221102,37.10138234531336,3.398026452904929,115.0
8,20221102,37.08652472945452,3.4729362458177118,115.0
7,20221102,37.131505163984215,3.367958015221809,115.0
6,20221102,36.98419106039472,4.4610941843672975,115.0
5,20221102,37.234027253709336,3.183845698083068,115.0
4,20221102,37.27354264232216,3.0564612865457983,115.0
3,20221102,37.18933091684309,3.633065834265228,115.0
2,20221102,37.17536021966966,3.8499562658582858,115.0
14,20221102,36.894749316100594,4.409422356995655,115.0
29,20221102,36.89731136013804,4.142930418589104,115.0
30,20221102,36.89653765679136,4.118674544699354,115.0
31,20221102,37.04175296945853,3.0688539361358247,115.0
2,20221102,38.72181894225583,16.1286502830766,115.0
3,20221102,38.85688684074735,16.21873908927224,115.0
4,20221102,39.33278283113408,15.777008676064204,115.0
3,20221102,40.07004671419368,15.62128831321224,115.0
2,20221102,40.06648665895157,15.51552883391661,115.0
1,20221102,40.04351588752807,15.490823430965335,115.0
0,20221102,39.69914748798871,15.80528791902303,115.0
51,20221102,36.750189142464656,2.843018410414269,115.0
50,20221102,36.78936618629832,2.865425066751788,115.0
49,20221102,36.77989276565236,3.073461378667906,115.0
48,20221102,36.77080905753601,3.103250231174888,115.0
47,20221102,36.77715519298148,3.0780563361661297,115.0
46,20221102,36.783593322865705,3.0917178942428767,115.0
45,20221102,36.78098767942859,3.1127231445566323,115.0
44,20221102,36.76628903413851,3.218006678539906,115.0
43,20221102,36.77855920322207,3.228499574176947,115.0
42,20221102,36.8597734361085,2.944888234589287,115.0
41,20221102,36.819542322754366,3.0194054892581192,115.0
40,20221102,36.8204651107396,3.0197809487521443,115.0
39,20221102,36.79864686202463,3.088196429699688,115.0
38,20221102,36.77855920322207,3.228499574176947,115.0
37,20221102,36.81796868313119,3.2606551385170293,115.0
36,20221102,36.81809771188034,3.2627956863043925,115.0
35,20221102,36.89546082973155,2.9310392553282894,115.0
34,20221102,36.95294556019956,3.1903405592603518,115.0
33,20221102,36.64916271582207,5.375130190936696,115.0
32,20221102,36.665082402754045,5.445473636114077,115.0
1,20221102,37.12739178113831,4.361707281152861,115.0
0,20221102,37.11837395073092,4.533386673409745,115.0
0,20221102,38.713537986626505,16.09899448786479,115.0
15,20221103,37.18873414605903,8.520871353425784,114.0
28,20221103,39.04100271737072,7.1894521760427015,114.0
29,20221103,39.16499671586203,7.122049261518412,114.0
30,20221103,38.95404853729714,5.518344852506922,114.0
0,20221103,36.00700862501014,-4.97641620013553,114.0
1,20221103,36.02076979261719,-5.05795831904913,114.0
2,20221103,36.01305396234015,-5.171759022171807,114.0
3,20221103,36.049788672025805,-5.226064273238241,114.0
4,20221103,36.03857305996701,-5.212254524085352,114.0
5,20221103,36.03231630128586,-5.265064274202907,114.0
27,20221103,39.14732313473877,8.207602094770882,114.0
6,20221103,35.9859261259783,-5.299424917837368,114.0
8,20221103,35.85108595094096,-4.958607035436839,114.0
9,20221103,35.81046372576321,-5.00172132334561,114.0
