field_1,Date,Latitude,Longitude,DaysOld
6,20230115,-14.252889409368208,48.00365188889421,41.0
40,20230115,-15.919104204270765,46.35582078039224,41.0
41,20230115,-15.798430789193166,45.77328247754831,41.0
42,20230115,-15.977850893096404,46.412686121801045,41.0
43,20230115,-15.960633116354655,46.31636122169003,41.0
44,20230115,-15.944127441481468,46.30921009679189,41.0
45,20230115,-16.049952267110296,46.56934044081556,41.0
46,20230115,-15.846431906021229,45.60649212372432,41.0
47,20230115,-15.862764123882766,45.61178905078652,41.0
48,20230115,-15.896780027891332,45.629872692881705,41.0
49,20230115,-15.912749379433246,45.626476303904695,41.0
12,20230115,-25.259574247738712,44.4049799293188,41.0
11,20230115,-25.24291956834953,44.412820896292345,41.0
39,20230115,-15.945411782897796,46.39836538476461,41.0
10,20230115,-25.242871256070625,44.41160820141908,41.0
8,20230115,-25.17923036310756,44.33551392413861,41.0
0,20230115,10.37302651082643,51.22104763625868,41.0
1,20230115,10.371707126573526,51.2249405711196,41.0
2,20230115,10.368835296208523,51.230084192025664,41.0
3,20230115,10.363451165753542,51.22635929236781,41.0
4,20230115,10.358893458659622,51.23702309099771,41.0
5,20230115,10.363597918326406,51.21030999196878,41.0
7,20230115,-25.149928313888605,44.289507394756846,41.0
6,20230115,-24.44229397844569,43.64436875627021,41.0
5,20230115,-24.44150541781293,43.64443705708397,41.0
4,20230115,-23.573506250713145,43.776083105987766,41.0
3,20230115,-23.516077538463698,43.73756517579013,41.0
9,20230115,-25.17923036310756,44.33551392413861,41.0
38,20230115,-15.93751366823834,46.369509399306274,41.0
37,20230115,-15.938851700637676,46.493110009940345,41.0
36,20230115,-15.961143229515486,46.50853695886309,41.0
9,20230115,-15.060193597337918,46.596771590016985,41.0
10,20230115,-15.084565560222668,46.54882827661272,41.0
11,20230115,-15.085476306140936,46.54889560012153,41.0
12,20230115,-15.276309966683009,47.092496641144926,41.0
13,20230115,-15.448670103405702,47.168513869185134,41.0
14,20230115,-15.452954026148594,47.164190434066285,41.0
15,20230115,-15.443242620700872,46.68289923389927,41.0
16,20230115,-15.417306286503354,46.668756354612746,41.0
17,20230115,-15.42101348514174,46.66503282726037,41.0
18,20230115,-15.46100152552814,46.49045643042414,41.0
19,20230115,-15.254023521907785,45.59943740534455,41.0
20,20230115,-15.375265716273637,45.975030856688576,41.0
21,20230115,-15.376274950266424,45.97411231985416,41.0
22,20230115,-15.716348269317924,46.2842344481551,41.0
23,20230115,-15.74723671536998,46.35401112841685,41.0
24,20230115,-15.730991560196417,46.29990748209487,41.0
25,20230115,-15.733661247252138,46.31072868114016,41.0
26,20230115,-15.674284850933882,45.98018272707528,41.0
27,20230115,-15.73184046782798,46.08077978380207,41.0
28,20230115,-15.73184046782798,46.08077978380207,41.0
29,20230115,-15.88289682747854,46.40570388714511,41.0
30,20230115,-15.83867699612575,46.245850289053706,41.0
31,20230115,-15.825327326678703,46.232291960322826,41.0
32,20230115,-15.786876897282404,45.97053550581901,41.0
33,20230115,-15.761953000728935,45.90324620460183,41.0
34,20230115,-15.768918126897294,45.91040270095783,41.0
35,20230115,-15.77173765456181,45.9153681464857,41.0
2,20230115,-23.514259979428843,43.736708532268125,41.0
1,20230115,-23.50753384479665,43.7380640639328,41.0
0,20230115,-23.508210759901957,43.99187120911294,41.0
0,20230115,-13.410874123958951,48.28066139908245,41.0
6,20230115,-25.96894415636143,35.59641807559653,41.0
5,20230115,-26.52879967330729,35.03109417896585,41.0
4,20230115,-26.60212352538929,34.870824987285374,41.0
3,20230115,-26.348351270551927,36.09597022688696,41.0
2,20230115,-26.34874992656369,36.09608569412601,41.0
0,20230115,-16.01381181327275,45.57252752133213,41.0
1,20230115,-16.035298791012053,45.55477964270474,41.0
2,20230115,-16.019046512392883,45.39204899944554,41.0
3,20230115,-16.43343114712014,46.69571469830669,41.0
4,20230115,-16.41802256903852,46.65004038342966,41.0
5,20230115,-16.37891580385188,46.53694939099864,41.0
6,20230115,-16.4080620830934,46.52301110922203,41.0
